# Sum-of-Exponentials (SOE) approximation of the soft-Coulomb kernel
# 1/sqrt(1+t^2) ≈ Re[ Σ_{k=1}^{12} w_k * exp(-s_k * t) ]
#
# 12-term TLBT from K=40 VARPRO
# Valid on t ∈ [0, 40]
# Non-decaying modes present (mildly bounded)
# Max abs error:  4.97e-07
# Mean abs error: 1.65e-08
#
# 10 real terms + 1 conjugate pairs = 12 terms total
#
# Columns: Re(s)  Im(s)  Re(w)  Im(w)
   +7.1931542574343803e+00   -3.9782789707655386e+00   +7.6462609562910110e-03   -1.1903482020763780e-02
   +7.1931542574343794e+00   +3.9782789707655373e+00   +7.6462609562910032e-03   +1.1903482020763783e-02
   +5.7766424644838050e+00   -0.0000000000000000e+00   +2.5419290839312680e-01   -4.7603661875686709e-18
   +3.8063220538949545e+00   -0.0000000000000000e+00   -6.8312686056028316e-01   -8.8002211277958250e-18
   +1.4851177230239319e+00   -0.0000000000000000e+00   +3.7660753726404739e-01   +9.3274006466422156e-18
   +9.1940262494560310e-01   -0.0000000000000000e+00   +3.3916484875783803e-01   -5.7042618491152532e-18
   +5.9609841603173197e-01   -0.0000000000000000e+00   +2.2805285688303983e-01   +1.2677251604141628e-18
   +3.7489676295899221e-01   -0.0000000000000000e+00   +1.9243349405766008e-01   -5.7209011021305947e-18
   +2.0251122447268008e-01   -0.0000000000000000e+00   +1.4149866674767222e-01   +5.0665175550333564e-18
   +8.7853443495446687e-02   -0.0000000000000000e+00   +8.8197689298750950e-02   +4.1302313623557082e-19
   -6.9333897490661961e-03   -0.0000000000000000e+00   +2.7330743485645746e-03   +2.5129311408997424e-19
   +2.1905483208049824e-02   -0.0000000000000000e+00   +4.4953760069934290e-02   -8.0439026739237939e-19
