# Sum-of-Exponentials (SOE) approximation of the soft-Coulomb kernel
# 1/sqrt(1+t^2) ≈ Re[ Σ_{k=1}^{13} w_k * exp(-s_k * t) ]
#
# Valid on t ∈ [0, 20]
# No decay constraint (some Re(s_k) < 0)
# Max abs error:  4.41e-07
# Mean abs error: 1.80e-08
#
# 7 real terms + 3 conjugate pairs = 13 terms total
# Obtained by 60-term SOE fit followed by TLBT model reduction
#
# Columns: Re(s)  Im(s)  Re(w)  Im(w)
  -9.6281812201994554e-02   0.0000000000000000e+00   6.1417531278037095e-04   0.0000000000000000e+00
  -1.8031850715559232e-02  -1.7857130764691351e-01  -3.6802066237984232e-04   6.4765571230492763e-04
  -1.8031850715559232e-02   1.7857130764691351e-01  -3.6802066237984270e-04  -6.4765571230492763e-04
   6.8931578689263140e-02   0.0000000000000000e+00   1.7282839638137742e-01   0.0000000000000000e+00
   2.1715087826426760e-01  -6.7879882317560158e-01   1.2809716147198567e-05  -4.0907143022955519e-06
   2.1715087826426760e-01   6.7879882317560158e-01   1.2809716147198615e-05   4.0907143022955519e-06
   3.3018806638287834e-01   0.0000000000000000e+00   3.3280435259925706e-01   0.0000000000000000e+00
   7.6337182116862135e-01   0.0000000000000000e+00   4.5815040604413787e-01   0.0000000000000000e+00
   1.4205590786894307e+00   0.0000000000000000e+00   4.4389885034145216e-01   0.0000000000000000e+00
   3.8794809073231638e+00   0.0000000000000000e+00  -7.3243517133634595e-01   0.0000000000000000e+00
   5.5336394812515399e+00   0.0000000000000000e+00   3.1015310299405874e-01   0.0000000000000000e+00
   7.1471099784224776e+00  -4.1033402431759303e+00   7.3483754293972780e-03  -1.0004263333284691e-02
   7.1471099784224776e+00   4.1033402431759303e+00   7.3483754293972841e-03   1.0004263333284684e-02
