# Sum-of-Exponentials (SOE) approximation of the soft-Coulomb kernel
# 1/sqrt(1+t^2) ≈ Re[ Σ_{k=1}^{13} w_k * exp(-s_k * t) ]
#
# 13-term TLBT from 20-term VARPRO (no decay constraint)
# Valid on t ∈ [0, 40]
# Non-decaying modes present
# Max abs error:  4.57e-07
# Mean abs error: 9.29e-09
#
# 7 real terms + 3 conjugate pairs = 13 terms total
#
# Columns: Re(s)  Im(s)  Re(w)  Im(w)
   +7.1639664738537778e+00   -4.0116079666100273e+00   +7.7467366924114196e-03   -1.1278252469233769e-02
   +7.1639664738537761e+00   +4.0116079666100282e+00   +7.7467366924114612e-03   +1.1278252469233746e-02
   +5.7191083557689986e+00   +7.2583183506073200e-16   +2.6305293683216824e-01   -4.7880335970318014e-16
   +3.8179371558090454e+00   -8.2615230643959927e-16   -6.9130797951925094e-01   +4.1883193766468757e-16
   +1.4721713527576221e+00   +1.4256700540583303e-16   +3.9224743498594150e-01   +1.4903468119964383e-16
   +8.7324106319205119e-01   +1.0843268097425602e-16   +3.8733054424779284e-01   -1.8844928684917762e-16
   +4.9255413208944526e-01   -1.1774673269315712e-16   +2.8352963758164534e-01   -1.5210257738428471e-16
   +2.4810850150340757e-01   -2.2218399784625379e-17   +1.9340926727861893e-01   +2.7372006161210365e-16
   +7.9209913178648977e-02   +1.0785326220666753e-16   +1.6368918844397401e-01   +3.5759251661121946e-16
   +3.3045089101481739e-02   -5.0131766292824315e-02   -5.2537567450396516e-03   -1.3091417461886487e-02
   -2.4080687180974666e-02   -2.4538798751614913e-02   +1.5317338371136867e-03   -1.4054508168673460e-03
   -2.4080687180974801e-02   +2.4538798751614899e-02   +1.5317338371137082e-03   +1.4054508168672042e-03
   +3.3045089101481753e-02   +5.0131766292824544e-02   -5.2537567450395969e-03   +1.3091417461886298e-02
