# Sum-of-Exponentials (SOE) approximation of the soft-Coulomb kernel
# 1/sqrt(1+t^2) ≈ Re[ Σ_{k=1}^{20} w_k * exp(-s_k * t) ]
#
# 20-term VARPRO fit (all real, all decaying)
# Valid on t ∈ [0, 40]
# All decaying (Re(s) > 0)
# Max abs error:  7.49e-07
# Mean abs error: 1.61e-07
#
# 20 real terms + 0 conjugate pairs = 20 terms total
#
# Columns: Re(s)  Im(s)  Re(w)  Im(w)
   +3.5023071281273227e-04   +0.0000000000000000e+00   -1.0271322614098117e+03   +0.0000000000000000e+00
   +1.1348908027448772e-03   +0.0000000000000000e+00   +1.4987308230195988e+03   +0.0000000000000000e+00
   +5.0382250279391132e-03   +0.0000000000000000e+00   -6.0151960151882304e+02   +0.0000000000000000e+00
   +8.0860403264379401e-03   +0.0000000000000000e+00   +4.9698039950287040e+02   +0.0000000000000000e+00
   +4.3181479380542051e-03   +0.0000000000000000e+00   +1.0912273584197526e+02   +0.0000000000000000e+00
   +4.8417332255020406e-03   +0.0000000000000000e+00   -4.3323928551536858e+02   +0.0000000000000000e+00
   +1.6746474074112377e-02   +0.0000000000000000e+00   -4.3257894681139838e+01   +0.0000000000000000e+00
   +7.4545986475042847e-02   +0.0000000000000000e+00   +5.0175859508085008e-01   +0.0000000000000000e+00
   +2.9346825918444147e-01   +0.0000000000000000e+00   +1.9017940030579011e-01   +0.0000000000000000e+00
   +4.0045271184174525e-01   +0.0000000000000000e+00   +1.1076676938126120e-01   +0.0000000000000000e+00
   +7.0652990097931001e-01   +0.0000000000000000e+00   +4.1219080395882030e-01   +0.0000000000000000e+00
   +1.4180620714603986e+00   +0.0000000000000000e+00   +8.5148137264716817e-01   +0.0000000000000000e+00
   +1.6248071214978186e+00   +0.0000000000000000e+00   -4.5757804244544015e-01   +0.0000000000000000e+00
   +2.6421000706271989e+00   +0.0000000000000000e+00   +3.3301102944326788e-01   +0.0000000000000000e+00
   +5.8624493793645369e+00   +0.0000000000000000e+00   +1.7076077825496379e+03   +0.0000000000000000e+00
   +5.3893263916357075e+00   +0.0000000000000000e+00   +2.2133197998797368e+03   +0.0000000000000000e+00
   +5.5191062148422114e+00   +0.0000000000000000e+00   -3.2679507949471031e+03   +0.0000000000000000e+00
   +4.8105246092874427e+00   +0.0000000000000000e+00   -8.3278519545601114e+01   +0.0000000000000000e+00
   +6.2581752295533741e+00   +0.0000000000000000e+00   -8.6072314718373764e+02   +0.0000000000000000e+00
   +6.4825457263546014e+00   +0.0000000000000000e+00   +2.9039815468642348e+02   +0.0000000000000000e+00
