# Sum-of-Exponentials (SOE) approximation of the soft-Coulomb kernel
# 1/sqrt(1+t^2) ≈ Re[ Σ_{k=1}^{25} w_k * exp(-s_k * t) ]
#
# Valid on t ∈ [0, 20]
# Decay constraint enforced: all Re(s_k) > 0
# Max abs error:  1.91e-07
# Mean abs error: 9.19e-09
#
# 15 real terms + 5 conjugate pairs = 25 terms total
# Obtained by 60-term SOE fit followed by TLBT model reduction
#
# Columns: Re(s)  Im(s)  Re(w)  Im(w)
   1.3218359989208509e-06   0.0000000000000000e+00   1.6695589403590316e+00   0.0000000000000000e+00
   3.2925252351939409e-06   0.0000000000000000e+00   5.1210783537696889e+00   0.0000000000000000e+00
   2.0973360501522182e-04   0.0000000000000000e+00   2.2445526544032699e+00   0.0000000000000000e+00
   2.6087523494279685e-03   9.3359818827446917e-03  -4.1592595788925451e+00  -3.0841918824387866e+00
   2.6087523494279685e-03  -9.3359818827446917e-03  -4.1592595788926170e+00   3.0841918824386854e+00
   5.8409958287056987e-02   7.6057635811868238e-02  -1.5663937450959450e-01  -2.0169250016107013e-01
   5.8409958287056987e-02  -7.6057635811868238e-02  -1.5663937450960080e-01   2.0169250016106671e-01
   2.1128422373789507e-01   1.6828139755993124e-01   2.1915388734184360e-02  -7.7843293884254511e-02
   2.1128422373789507e-01  -1.6828139755993124e-01   2.1915388734181366e-02   7.7843293884252998e-02
   5.2152555109333132e-01   2.4382261422316198e-01   8.1780509063312606e-02   2.3113371097613772e-03
   5.2152555109333132e-01  -2.4382261422316198e-01   8.1780509063311718e-02  -2.3113371097617866e-03
   1.0142327066388417e+00   0.0000000000000000e+00   6.5828687007194608e-01   0.0000000000000000e+00
   1.5502488342255927e+00   2.3921430921022038e-01   1.0081689704689480e-01  -1.8240539092455724e-01
   1.5502488342255927e+00  -2.3921430921022038e-01   1.0081689704689471e-01   1.8240539092455685e-01
   2.7908172525008785e+00   0.0000000000000000e+00  -2.1382440233233982e-01   0.0000000000000000e+00
   4.3292044266591772e+00   0.0000000000000000e+00  -6.7083896414179711e-01   0.0000000000000000e+00
   6.0832041496130005e+00   0.0000000000000000e+00   4.9397623351438991e-01   0.0000000000000000e+00
   1.1255833876250936e+01   0.0000000000000000e+00  -1.5156543613945581e-01   0.0000000000000000e+00
   1.5651152158153286e+01   0.0000000000000000e+00   1.2788093861690553e-01   0.0000000000000000e+00
   2.0198892316467628e+01   0.0000000000000000e+00  -7.5095258141409826e-02   0.0000000000000000e+00
   2.9973375184626192e+01   0.0000000000000000e+00   3.4930962893106023e-02   0.0000000000000000e+00
   3.8077845704465943e+01   0.0000000000000000e+00  -2.0808094321121285e-02   0.0000000000000000e+00
   5.3955801402506239e+01   0.0000000000000000e+00   6.2313031853052387e-03   0.0000000000000000e+00
   7.3133371913988341e+01   0.0000000000000000e+00  -1.8569194642689573e-03   0.0000000000000000e+00
   1.0000302511168077e+02   0.0000000000000000e+00   2.6532595155770726e-04   0.0000000000000000e+00
