# Sum-of-Exponentials (SOE) approximation of the soft-Coulomb kernel
# 1/sqrt(1+t^2) ≈ Σ_{k=1}^{35} w_k * exp(-s_k * t)
#
# 35-term conditioned VARPRO (max|w|=42.35)
# Valid on t ∈ [0, 40]
# All real, all decaying (s_k > 0)
# Max abs error:  1.71e-07
# Mean abs error: 2.71e-09
# Max |w_k|:      42.3526
#
# 35 real terms
#
# Columns: s_k  w_k
   +3.5925665437053683e-04   -1.4532820138272234e+01
   +5.1029415936042048e-04   -1.0622722093586003e+01
   +7.2483035709835955e-04   -5.6289089095809572e+00
   +1.0295611598412605e-03   +4.1255752842693622e-01
   +1.4624058877680821e-03   +7.0836235050450007e+00
   +2.0772257773481722e-03   +1.3261066749711304e+01
   +2.9505262295306122e-03   +1.6784202593655841e+01
   +4.1909767951473584e-03   +1.4526134355838334e+01
   +5.9529335213731873e-03   +3.8558882227947917e+00
   +8.4556463187581560e-03   -1.3207016201896812e+01
   +1.2010541426546201e-02   -2.4230858891738212e+01
   +1.7059973882631425e-02   -9.5221785721450249e+00
   +2.4232272179902842e-02   +2.5865330689037226e+01
   +3.4419924616573901e-02   +1.7431996994628232e+01
   +4.8890636495623120e-02   -4.2352550337459959e+01
   +6.9445077627978802e-02   +3.1630804965692651e+01
   +9.8640949523898000e-02   -1.4518402591993182e+01
   +1.4011125417845385e-01   +5.1084419151346436e+00
   +1.9901636837653497e-01   -1.4482334574622078e+00
   +2.8268617759525783e-01   +5.3827473399551040e-01
   +4.0153217373671823e-01   -2.9395704903504428e-03
   +5.7034301399970155e-01   +2.3525498174038928e-01
   +8.1012475436539932e-01   +2.1602169891516126e-01
   +1.1507147480129238e+00   +2.9469057226377560e-01
   +1.6344944703383362e+00   +2.3935444177767304e-01
   +2.3216632776975525e+00   +4.6442443408352331e-02
   +3.2977293425126097e+00   -4.1307090287378317e-01
   +4.6841499027600886e+00   -4.1799934971177599e-01
   +6.6534448502707750e+00   +5.5659166810854388e-01
   +9.4506643242800621e+00   -2.4586397492578740e-01
   +1.3423881640288172e+01   +7.1914427061004912e-02
   +1.9067505956116332e+01   -1.9005051430614858e-02
   +2.7083804307047437e+01   +4.9200184446283957e-03
   +3.8470288533312043e+01   -1.0833317443680098e-03
   +5.4643841133174305e+01   +1.4104042185794814e-04
