# Sum-of-Exponentials (SOE) approximation of the soft-Coulomb kernel
# 1/sqrt(1+t^2) ≈ Re[ Σ_{k=1}^{20} w_k * exp(-s_k * t) ]
#
# Full VARPRO fit (20 real exponentials)
# Valid on t ∈ [0, 40]
# All decaying (Re(s) > 0)
# Max abs error:  1.12e-07
# Mean abs error: 5.56e-09
#
# 20 real terms + 0 conjugate pairs = 20 terms total
#
# Columns: Re(s)  Im(s)  Re(w)  Im(w)
   +2.4120345072584344e-03   +0.0000000000000000e+00   -5.1235574239553934e+01   +0.0000000000000000e+00
   +2.4607923422555493e-03   +0.0000000000000000e+00   -3.7972913248089625e+01   +0.0000000000000000e+00
   +3.1768556291417818e-03   +0.0000000000000000e+00   +1.1223171276003060e+02   +0.0000000000000000e+00
   +9.9344994709544745e-03   +0.0000000000000000e+00   -2.9082994434636309e+01   +0.0000000000000000e+00
   +1.2573320936080943e-02   +0.0000000000000000e+00   -4.7825569336424266e+01   +0.0000000000000000e+00
   +1.6286071779801368e-02   +0.0000000000000000e+00   +7.8371562117551576e+01   +0.0000000000000000e+00
   +2.1984075414209454e-02   +0.0000000000000000e+00   -2.4824802254888031e+01   +0.0000000000000000e+00
   +6.1996470617266090e-02   +0.0000000000000000e+00   +4.7571077627127373e-01   +0.0000000000000000e+00
   +9.5005213120949561e-02   +0.0000000000000000e+00   +1.9574684396102417e-02   +0.0000000000000000e+00
   +2.4828931007684582e-01   +0.0000000000000000e+00   +1.9234648493843390e-01   +0.0000000000000000e+00
   +4.8792200541958830e-01   +0.0000000000000000e+00   +2.7228931185614497e-01   +0.0000000000000000e+00
   +8.1921315638167524e-01   +0.0000000000000000e+00   +2.8568463333348226e-01   +0.0000000000000000e+00
   +1.0789610145018729e+00   +0.0000000000000000e+00   +1.8294901524810978e-01   +0.0000000000000000e+00
   +1.5409391112114301e+00   +0.0000000000000000e+00   +3.3131868446669344e-01   +0.0000000000000000e+00
   +3.6846700857869457e+00   +0.0000000000000000e+00   -6.0635456716708569e-01   +0.0000000000000000e+00
   +8.3006072654737491e+00   +0.0000000000000000e+00   -4.3658528077585601e+01   +0.0000000000000000e+00
   +8.7814868688337313e+00   +0.0000000000000000e+00   -1.4958887140220579e+03   +0.0000000000000000e+00
   +9.2541748446256715e+00   +0.0000000000000000e+00   +1.1319038165011560e+02   +0.0000000000000000e+00
   +8.7415278868372575e+00   +0.0000000000000000e+00   +1.4445753845982465e+03   +0.0000000000000000e+00
   +9.7407694128954727e+00   +0.0000000000000000e+00   -1.8033464647601747e+01   +0.0000000000000000e+00
